id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
150,RK0187PMD,Durian,Durio carinatus,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,52,10,Hutan Desa Sungai Salak,mineral,Pembinaan,0.6939387,100.3468588,200.87,9.38,Belum,-,-,Rahmad,29/09/2021 11:03,200000,1721.3,-,Chave et al (2014),media/1632888248862.jpg,media/1632888254726.jpg,media/1632888260743.jpg,media/1632888271213.jpg,
151,RK0188PMD,Topis,Polyalthia hypoleuca,Pohon Dewasa,icon/mature_tree.svg,Not Define,41,22,Hutan Desa Pemandang,mineral,Pembinaan,0.6939738,100.3468124,207,9.38,Belum,-,-,Habibi,29/09/2021 11:07,200000,2753.79,-,Chave et al (2014),media/1632888488514.jpg,media/1632888493949.jpg,media/1632888499925.jpg,media/1632888505385.jpg,
152,RK0189PMD,Cempedak,Artocarpus heterophyllus,Pohon Muda,icon/young_tree.svg,Not Define,36,8,Hutan Desa Pemandang,mineral,Pembinaan,0.6939849,100.346873,201.33,9.37,Belum,-,-,Rahmad,29/09/2021 11:10,50000,670.36,-,Chave et al (2014),media/1632888660571.jpg,media/1632888666589.jpg,media/1632888706032.jpg,media/1632888714675.jpg,
153,RK0190MD,Alai,Intsia palembanica,Pohon Dewasa,icon/mature_tree.svg,Not Define,60,30,Hutan Desa Pemandang,mineral,Pembinaan,0.6939614,100.3468765,199.27,9.38,Belum,-,-,Habibi,29/09/2021 11:13,200000,9720.49,-,Chave et al (2014),media/1632888880866.jpg,media/1632888886636.jpg,media/1632888911440.jpg,media/1632888920121.jpg,
154,RK0191PMD,Buluhbulu,-,Pohon Muda,icon/young_tree.svg,Not Define,31,17,Hutan Desa Pemandang,mineral,Pembinaan,0.6939957,100.3469482,191.81,9.37,Belum,-,-,Rahmad,29/09/2021 11:15,50000,2566.25,-,Brown (1997),media/1632889080257.jpg,media/1632889086465.jpg,media/1632889094771.jpg,media/1632889105391.jpg,
155,RK0192PMD,Kelat,Eugenia spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,55,30,Hutan Desa Pemandang,mineral,Pembinaan,0.6941373,100.3468039,196.28,9.36,Belum,-,-,Habibi,29/09/2021 11:21,200000,7726.48,-,Chave et al (2014),media/1632889314315.jpg,media/1632889320363.jpg,media/1632889326821.jpg,media/1632889332259.jpg,
156,RK0193PMD,Mompolu,-,Pohon Dewasa,icon/mature_tree.svg,Not Define,50,30,Hutan Desa Pemandang,mineral,Pembinaan,0.6941133,100.3468692,207.61,9.36,Belum,-,-,Habibi,29/09/2021 11:25,200000,8600.97,-,Brown (1997),media/1632889533998.jpg,media/1632889540209.jpg,media/1632889546667.jpg,media/1632889552481.jpg,
157,RK0194PMD,Bintangur,Calophyllum spp,Pohon Dewasa,icon/mature_tree.svg,Not Define,47,18,Hutan Desa Pemandang,mineral,Pembinaan,0.6940751,100.3468968,198.21,9.36,Belum,-,-,Rahmad,29/09/2021 11:27,200000,2808.39,-,Chave et al (2014),media/1632889716493.jpg,media/1632889724571.jpg,media/1632889731408.jpg,media/1632889737487.jpg,
158,RK0195PMD,Plajau,Pentaspadon motleyi,Pohon Dewasa,icon/mature_tree.svg,Not Define,47,18,Hutan Desa Pemandang,mineral,Pembinaan,0.6941112,100.3469671,189.46,9.36,Belum,-,-,Habibi,29/09/2021 11:31,200000,2371.77,-,Chave et al (2014),media/1632889913153.jpg,media/1632889919948.jpg,media/1632889926234.jpg,media/1632889931337.jpg,
159,RL0196PMD,Durian,Durio carinatus,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,46,10,Hutan Desa Pemandang,mineral,Pembinaan,0.6941115,100.3469545,194.31,9.36,Belum,-,-,Rahmad,29/09/2021 11:34,200000,1354.95,-,Chave et al (2014),media/1632890125613.jpg,media/1632890134376.jpg,media/1632890154959.jpg,media/1632890162413.jpg,
160,RK0197PMD,Trempinis,Sloetia elongata,Pohon Dewasa,icon/mature_tree.svg,Not Define,43,18,Hutan Desa Pemandang,mineral,Pembinaan,0.6941137,100.3469454,194.69,9.36,Belum,-,-,Habibi,29/09/2021 11:38,200000,3583.59,-,Chave et al (2014),media/1632890306420.jpg,media/1632890321636.jpg,media/1632890341965.jpg,media/1632890349146.jpg,
161,RK0198PMD,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,41,30,Hutan Desa Pemandang,mineral,Pembinaan,0.6940958,100.3470238,187.61,9.36,Belum,-,-,Rahmad,29/09/2021 11:41,200000,3505.12,-,Chave et al (2014),media/1632890495061.jpg,media/1632890499929.jpg,media/1632890519027.jpg,media/1632890527908.jpg,
162,RK0199PMD,Malapari,Pongamia Pinnata ,Pohon Dewasa,icon/mature_tree.svg,Least Concern,43,30,Hutan Desa Pemandang,mineral,Pembinaan,0.6940714,100.347028,190.12,9.36,Belum,-,-,Habibi,29/09/2021 11:44,200000,3970.46,-,Chave et al (2014),media/1632890666745.jpg,media/1632890674616.jpg,media/1632890687793.jpg,media/1632890694734.jpg,
163,RK0200PMD,Tamba,-,Pohon Muda,icon/young_tree.svg,Not Define,39,30,Hutan Desa Pemandang,mineral,Pembinaan,0.6940324,100.3470369,192.14,9.36,Belum,-,-,Rahmad,29/09/2021 11:50,50000,4587.19,-,Brown (1997),media/1632891089993.jpg,media/1632891096828.jpg,media/1632891117304.jpg,media/1632891127400.jpg,
164,RK0201PMD,Malapari,Pongamia Pinnata ,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,18,Hutan Desa Pemandang,mineral,Pembinaan,0.6941499,100.3472815,176.71,9.34,Belum,-,-,Habibi,29/09/2021 11:55,200000,2094.15,-,Chave et al (2014),media/1632891326140.jpg,media/1632891333264.jpg,media/1632891350794.jpg,media/1632891355217.jpg,
165,RK0202PMD,Bintangur,Calophyllum spp,Pohon Dewasa,icon/mature_tree.svg,Not Define,50,23,Hutan Desa Pemandang,mineral,Pembinaan,0.6942762,100.3471161,218.6,9.33,Belum,-,-,Habibi,29/09/2021 11:58,200000,4025.42,-,Chave et al (2014),media/1632891506974.jpg,media/1632891512314.jpg,media/1632891518129.jpg,media/1632891556558.jpg,
166,RK0203PMD,Ketuka,-,Pohon Dewasa,icon/mature_tree.svg,Not Define,43,25,Hutan Desa Pemandang,mineral,Pembinaan,0.6937407,100.3474236,209.8,9.37,Belum,-,-,Habibi,29/09/2021 13:10,200000,5872.58,-,Brown (1997),media/1632895871472.jpg,media/1632895878313.jpg,media/1632895886026.jpg,media/1632895891596.jpg,
167,RK0204PMD,Bintangur,Calophyllum spp,Pohon Dewasa,icon/mature_tree.svg,Not Define,46,22,Hutan Desa Pemandang,mineral,Pembinaan,0.6937487,100.3475409,200.96,9.36,Belum,-,-,Rahmad,29/09/2021 13:13,200000,3275.54,-,Chave et al (2014),media/1632896042673.jpg,media/1632896048721.jpg,media/1632896055195.jpg,media/1632896060215.jpg,
